# 137,cat137 -># 406,cat406|Топоры
#1|Топор кованый 0.8 кг с фиберглассовым топорищем 395 мм              |137|21645| 429,00| 414,00| 398,00||norow|| СИБРТЕХ <span class="art">арт. 21645</span>|</span></p><UL><LI>Полотно выполнено из стали марки <b>У8</b>.<LI>Рабочая кромка заточена под углом <b>20-30°</b> и имеет твердость в пределах 25 мм от кромки <b>48-57 HRC</b>.<LI>Фибергласовое топорище обеспечивает амортизацию при ударе и удобно лежит в руке.<LI>Общая длина <b>410 мм</b>, общий вес <b>1.18 кг</b>.</UL><p><span class="addt">||/img/pic/instr/small/21645.jpg|/img/pic/instr/big/21645.jpg
#0|Топор кованый 0.8 кг с фиберглассовым топорищем 395 мм СИБРТЕХ      |137|21645| 429,00| 414,00| 398,00||
#1|Топор кованый 1.25 кг с фиберглассовым обрезиненным топорищем    |137|39-1-012|1165,00|1125,00|1098,00||norow|| HARDAX <span class="art">арт. 39-1-012</span>|</span></p><UL><LI>Полотно выполнено из усиленной термообработанной инструментальной стали твердостью <b>47-52 HRC</b>.<LI>Фибергласовое обрезиненное топорище обеспечивает амортизацию при ударе и удобно лежит в руке.<LI>Общая длина <b>400 мм</b>, общий вес <b>1.63 кг</b>.</UL><p><span class="addt">||/img/pic/instr/small/39-1-012.jpg|/img/pic/instr/big/39-1-012.jpg
#0|Молоток печника 700 г    |205|MK700   |235|218|207||
#1|Молоток каменщика   680 г|205|564301  |425|405|390|||| STRIKE, стеклопластиковая рукоятка <span class=art>арт. 564301</span>|||/img/pic/instr/small/564301 - Molotok KAMENSH 680 g STRIKE.jpg|/img/pic/instr/big/564301 - Molotok KAMENSH 680 g STRIKE.jpg
 1|Молоток печника 400 г    |205|A400    |198|192|189||norow|Молотки печника (молотки-кирочки)|, деревянная рукоятка|||/img/pic/instr/small/MOLOTOK PECHNIKA (KIROCHKA).jpg|/img/pic/instr/big/MOLOTOK PECHNIKA (KIROCHKA).jpg
 0|Молоток печника 400 г    |205|A400    |198|192|189|
 0|Молоток печника 600 г    |205|A600    |269|258|249|
 1|Молоток каменщика   600 г|205|38-5-116|422|416|405||norow|| HARDAX, обратная фиберглассовая обрезиненная рукоятка <span class=art>арт. 38-5-116</span>|Головка молотка кованая, закалена и покрыта черным водным лаком. С одной стороны оснащена квадратным бойком, а с противоположной - уплощенным молотком для раскалывания. Рукоятка фиберглассовая. Сфера применения: служит для обкалывания и стесывания кирпича, рубки изразцов, разбивания старой кирпичной кладки.||/img/pic/instr/small/38-5-116.jpg|/img/pic/instr/big/38-5-116.jpg
 0|Молоток каменщика   600 г|205|38-5-116|422|416|405
 1|Молоток кровельщика 600 г|205|38-4-206|398|388|377||norow|| HARDAX, стеклопластиковая рукоятка <span class=art>арт. 38-4-206</span>|||/img/pic/instr/small/hardax38-4-206.jpg|/img/pic/instr/big/hardax38-4-206.jpg
 0|Молоток кровельщика 600 г|205|38-4-206|398|388|377
#1|Молоток кровельщика 600 г|205|564302  |435|410|385|||| STRIKE, стеклопластиковая рукоятка, магнитный держатель гвоздя <span class=art>арт. 564302</span>|||/img/pic/instr/small/564302 - Molotok KROVEL 600 g STRIKE.jpg|/img/pic/instr/big/564302 - Molotok KROVEL 600 g STRIKE.jpg
#1|Молоток кровельщика 600 г|205|10620   |498|480|470||norow||, цельнометаллическая рукоятка <span class=art>арт. 10620</span>|||/img/pic/instr/small/Molotok KROVELSCHIKA_art_10620.jpg|/img/pic/instr/big/Molotok KROVELSCHIKA_art_10620.jpg
#0|Молоток кровельщика 600 г|205|10620   |498|480|470
#1|Молоток каменщика 680 г  |205|38-5-206|395|370|350|||| HOBBI, деревянная рукоятка <span class=art>арт. 38-5-206</span>|||/img/pic/instr/small/hobbi38-5-206.jpg|/img/pic/instr/big/hobbi38-5-206.jpg
#1|Молоток каменщика 600 г  |205|10630 |595|575|565|||| MATRIX  <span class=art>арт. 10630</span>|Двухкомпонентная цельнометаллическая рукоятка||/img/pic/instr/small/MOLOTOK KAMENSCHIKA celnometall.jpg|/img/pic/instr/big/MOLOTOK KAMENSCHIKA celnometall.jpg
########################################
1|Молоток слесарный GROSS 0.3 кг |316|10273 |165||Молотки слесарные| GROSS|</span></p><UL><LI>фибергласовая обрезиненная рукоятка<LI>квадратный боек</UL><p><span class="addt">||/img/pic/instr/small/MOLOTOK GROSS.jpg|/img/pic/instr/big/MOLOTOK GROSS.jpg
#0|Молоток слесарный GROSS 0.4 кг |316|10274 |165
#0|Молоток слесарный GROSS 0.5 кг |316|10276 |177
0|Молоток слесарный GROSS 0.6 кг |316|10277 |210|norow
#0|Молоток слесарный GROSS 0.8 кг |316|10278 |244
#0|Молоток слесарный GROSS 1.0 кг |316|10279 |265
#1|Молоток слесарный STRIKE 0.8 кг|316|564108|285|norow|Молотки слесарные| STRIKE, стеклопластиковая рукоятка|||/img/pic/instr/small/STRIKE_564108.jpg|/img/pic/instr/big/jpg
#0|Молоток слесарный STRIKE 0.8 кг|316|564108|195|
#1|Молоток слесарный SPARTA 0.7 кг|316|102135|285|norow|Молотки слесарные| SPARTA|||/img/pic/instr/small/102135.jpg|/img/pic/instr/big/jpg
#0|Молоток слесарный SPARTA 0.7 кг|316|102135| 77|
#1|Молоток печника 400 г|316|PP400|120||Молотки печника (молотки-кирочки)|, деревянная рукоятка|||/img/pic/instr/small/MOLOTOK PECHNIKA (KIROCHKA).jpg|/img/pic/instr/big/MOLOTOK PECHNIKA (KIROCHKA).jpg
#0|Молоток печника 600 г|316|PP600|150

# 206,cat206|Молоток-гвоздодер
 1|Молоток-гвоздодер                             |206|38-3-104|245|238|231||norow|Молоток-гвоздодер 450&nbsp;г, деревянная рукоятка| HOBBI <span class=art>арт. 38-3-104</span>|</span></p><UL><LI>Боек кованный, круглого сечения, отполирован.</UL><p><span class="addt">||/img/pic/instr/small/38-3-104.jpg|/img/pic/instr/big/38-3-104.jpg
 0|Молоток-гвоздодер            HOBBI            |206|38-3-104|245|238|231||
 1|Молоток-гвоздодер                             |206|38-3-204|378|367|355||norow|Молоток-гвоздодер 450&nbsp;г, стеклопластиковая рукоятка| HARDAX <span class=art>арт. 38-3-204</span>|</span></p><UL><LI>Боек кованный, круглого сечения, отполирован.<LI>Рукоятка выполнена из фибергласса (стекловолокна), с противоскользящим, резиновым покрытием.</UL><p><span class="addt">||/img/pic/instr/small/MOLOTOK GVOZDODER 38-2-204.jpg|/img/pic/instr/big/MOLOTOK GVOZDODER 38-2-204.jpg
 0|Молоток-гвоздодер 450&nbsp;г HARDAX           |206|38-3-204|378|367|355||
#1|Молоток-гвоздодер                             |206|45015145|298|288|282||norow|Молоток-гвоздодер 450&nbsp;г, с магнитом, фибергласовая обрезиненная рукоятка| BOHRER <span class=art>арт. 45015145</span>|</span></p><UL><LI>Боек круглого сечения, с магнитом, изготовлен из стали марки <b>45</b> твердостью <b>HRC 50-58</b>.<LI>Рукоятка выполнена из фибергласса (стекловолокна), с противоскользящим резиновым покрытием.</UL><p><span class="addt">||/img/pic/instr/small/45015145.jpg|/img/pic/instr/big/45015145.jpg
#0|Молоток-гвоздодер                             |206|45015145|298|288|282||
~1|Молоток-гвоздодер 450&nbsp;г                  |206|38-3-345|498|486|474||norow|Молоток-гвоздодер цельнометаллический, 450&nbsp;г, двухкомпонентная рукоятка| HARDAX <span class=art>арт. 38-3-345</span>|||/img/pic/instr/small/MOLOTOK GVOZDODER 38-3-345.jpg|/img/pic/instr/big/MOLOTOK GVOZDODER 38-3-345.jpg
~0|Молоток-гвоздодер цельномет. 450&nbsp;г HARDAX|206|38-3-345|498|486|474||
#1|Молотки-гвоздодеры           TRUPER           |206|16702   |598|598|598||norow ltd|Молотки-гвоздодеры, металлическая рукоятка| TRUPER</span>|</span></p><br><UL><LI>Полированный боёк.<LI>Рабочая часть имеет магнитный паз для гвоздей.</UL><p><span class="addt">||/img/pic/instr/small/trup-mtr-16.jpg|/img/pic/instr/big/trup-mtr-16.jpg
#0|Молоток-гвоздодер 450 г, 330 мм TRUPER MTR-16 |206|16702   |598|598|598||
#0|Молоток-гвоздодер 570 г, 480 мм TRUPER MOR-20X|206|16661   |798|798|798||
#1|Молотки-гвоздодеры                     СИБРТЕХ|206|10442   |298|288|278||norow|Молоток-гвоздодер 450&nbsp;г, фиберглассовая обрезиненная рукоятка| СИБРТЕХ <span class="art">арт. 10442</span>|||/img/pic/instr/small/Ms10441.jpg|/img/pic/instr/big/Ms10441.jpg
#0|Молоток-гвоздодер           450&nbsp;г СИБРТЕХ|206|10442   |298|288|278||
#1|Молоток-гвоздодер 450&nbsp;г                  |206|10460   |498|480|470||norow|Молоток-гвоздодер цельнометаллический, 450&nbsp;г, двухкомпонентная рукоятка| MATRIX <span class=art>арт. 10460</span>|||/img/pic/instr/small/Molotok GVOZD-er CELNOMETALL A.jpg|/img/pic/instr/big/Molotok GVOZD-er CELNOMETALL A.jpg
#0|Молоток-гвоздодер цельномет. 450&nbsp;г MATRIX|206|10460   |498|480|470||
#1|Молоток-гвоздодер цельнометаллический         |206|564201  |725|620|598||norow|Молоток-гвоздодер цельнометаллический, 450&nbsp;г| STRIKE <span class=art>арт. 564201</span>|Двухкомпонентная рукоятка имеет отверстие для подвески.||/img/pic/instr/small/564201 - Molotok Gvoz CELNOMETAL450 g STRIKE.jpg|/img/pic/instr/big/564201 - Molotok Gvoz CELNOMETAL450 g STRIKE.jpg
#0|Молоток-гвоздодер цельномет. 450&nbsp;г STRIKE|206|564201  |725|620|598||
#0|Молоток-гвоздодер с магнитом 450&nbsp;г SiB   |206|10441   |375|360|350||
#1|Молоток-гвоздодер                             |206|10450   |415|380|370||norow|Молоток-гвоздодер 450&nbsp;г, боек 27&nbsp;мм, фиберглассовая двухкомпонентная рукоятка| MATRIX <span class=art>арт. 10450</span>|||/img/pic/instr/small/MOLOTOK GVOZDODER FIBERGLASS.jpg|/img/pic/instr/big/MOLOTOK GVOZDODER FIBERGLASS.jpg
#0|Молоток-гвоздодер 450&nbsp;г MATRIX           |206|10450   |415|380|370||
#1|Молоток-гвоздодер                             |206|564202  |285|275|265||norow|Молоток-гвоздодер 500&nbsp;г, стеклопластиковая рукоятка| STRIKE <span class=art>арт. 564202</span>|Фиберглассовая рукоятка имеет отверстие для подвески.||/img/pic/instr/small/564202 - Molotok Gvoz 500 g STRIKE.jpg|/img/pic/instr/big/564202 - Molotok Gvoz 500 g STRIKE.jpg
#0|Молоток-гвоздодер 500&nbsp;г STRIKE           |206|564202  |285|275|265||
#1|Молоток-гвоздодер                             |206|10442   |345|335|325||norow|Молоток-гвоздодер             450&nbsp;г, фиберглассовая обрезиненная рукоятка| SiB <span class=art>арт. 10442</span>|||/img/pic/instr/small/Ms10441.jpg|/img/pic/instr/big/Ms10441.jpg
#1|Молоток-гвоздодер с магнитом                  |206|10441   |375|360|350||norow|Молоток-гвоздодер с магнитом, 450&nbsp;г, фиберглассовая обрезиненная рукоятка| SiB <span class=art>арт. 10441</span>|||/img/pic/instr/small/Ms10441.jpg|/img/pic/instr/big/Ms10441.jpg
#1|Молоток-гвоздодер                             |206|16702   |590|570|550||norow|Молоток-гвоздодер 450&nbsp;г, металлическая рукоятка 330 мм| TRUPER MTR-16  <span class=art>арт. 16702</span>|Полированный боёк.||/img/pic/instr/small/trup-mtr-16.jpg|/img/pic/instr/big/trup-mtr-16.jpg
